NCAGE,NCAGESD,TOEC,Entity Name,Street (ST1/2),City (CIT),"Post Code, Physical Address (PSC)",Country,ISO (CTR),State/Province (STT),FIPS State (STE),Cage code requested for SAM,Remarks,Date Last Change International,Change Date,Creation Date,Load Date,National,NAC,IDN,BAR,NAI,CPV,UNS,SIC,Voice telephone number (TEL),Telefax number (FAX),Email (EMA),WWW (WWW),Post Office Box Number (POB),"City, Postal Address (PCC)","Post Code, Postal Address (PCS)",Replaced By (RP1-5),NMCRL Reference count
0027Z,A,E,PT. DOK & PERKAPALAN KODJA BAHARI (PERSERO),JL. SINDANG LAUT 101 CILINCING,JAKARTA UTARA,14110,INDONESIA,IDN,JAKARTA,,0,,2020-12-07,2020-12-07 08:28:46,2011-12-13 16:46:11,,1,,,,,,,,"+62214302232, 4302228",+62214303039,management@dokkodjabahari.com,http://dkb.co.id,,,,,2
0028Z,A,E,PT. INTI CELLULOSE UTAMA,JL RAYA RANGKAS CIKANDE,SERANG,42186,INDONESIA,IDN,BANTEN,,0,,2023-01-30,2023-01-30 10:01:59,2011-12-13 16:50:46,,1,,,,,,,,+62226499084,+62226497533,,,,,,,
0029Z,A,E,PT. SRI REJEKI ISMAN TBK,JL. KH. SAMANHUDI NO. 88,SUKOHARJO,57511,INDONESIA,IDN,CENTRAL JAVA,,0,,2020-09-09,2020-09-09 10:30:31,2011-12-13 16:54:49,,1,,,,,,,,+62271593188,+62271593488,ppeusa@sritex.co.id,www.sritex.co.id,,,,,3
0030Z,A,E,PT. DAYA MEKAR,JL. PROF. DR. ABD. RAHMAN SALEH NO. 9 ,BANDUNG,40170,INDONESIA,IDN,JAWA BARAT,,0,,2014-02-10,2014-02-10 08:12:37,2011-12-13 16:57:17,,1,,,,,,,,"+62 22 615807, 630927, 636620.","+622 6013803 ,+622 6868900",,,,,,,
0031Z,A,E,PT. YUNTEK ,JL. KIARA CONDONG NO. 18-20 ,BANDUNG,40272,INDONESIA,IDN,JAWA BARAT,,0,,2014-07-24,2014-07-24 09:20:30,2011-12-13 16:59:26,,1,,,,,,,,"+62 22 7801863, 702959",+62 22 7800066,arvin@yuntex.com,,,,,,
0032Z,A,E,PT. GRAND TEXTILE INDUSTRY,JL. A. H. NASUTION NO. 127,BANDUNG,40194,INDONESIA,IDN,JAWA BARAT,,0,,2020-02-10,2020-02-10 11:33:37,2011-12-13 17:04:00,,1,,,,,,,,"+62227206565,7202959","+62227205958,7210652",,www.grandtex.co.id,,,,,
0033Z,A,E,PT. BALI MUKTI,JL. KIARA CONDONG NO. 26 ,BANDUNG,40272,INDONESIA,IDN,JAWA BARAT,,0,,2014-02-10,2014-02-10 08:46:11,2011-12-13 17:06:00,,1,,,,,,,,"+62 22 71186,7202959,7801863","+6222 7201818,7800066",bmsf@yuntex.com,,,,,,
0034Z,A,E,PT. ANURAGA,JL. SUNAN DRAJAT 36 JATI PULO GADUNG ,JAKARTA TIMUR,13220,INDONESIA,IDN,JAKARTA,,0,,2014-02-24,2014-02-24 10:00:05,2011-12-13 17:07:45,,1,,,,,,,,"+62 21 4890142, 4703201, 4754614.",,,,,,,,
0035Z,A,E,PT. JANGKAR NUSANTARA MEGAH,"JL. KELUD 15 BAMBE, DRIYOREJO",GRESIK,61177,INDONESIA,IDN,JAWA TIMUR,,0,,2025-01-07,2025-01-07 09:24:53,2011-12-13 17:10:21,,1,,,,,,,,+620317663888,+620317663355,jnm._jkt@jnm.co.id,,,,,,4
0036Z,A,E,PT. BATARA INDRA PANDAAN,JL. PAHLAWAN TAWI NO. 1 RT. 1 DESA KARANG JATI PANDAAN,PASURUAN,67100,INDONESIA,IDN,JAWA TIMUR,,0,,2019-11-04,2019-11-04 08:12:27,2011-12-13 17:23:14,,1,,,,,,,,+62343633016,,,,,,,,1
0037Z,A,E,LEMBAGA FARMASI TNI AD (LAFIAD),JL. GUDANG UTARA 26,BANDUNG,40113,INDONESIA,IDN,JAWA BARAT,,0,,2011-12-13,2011-12-13 17:24:57,2011-12-13 17:24:57,,1,,,,,,,,+62 22 4233219,,,,,,,,
0038Z,A,E,LEMBAGA BIOMEDIS TNI-AD (LABIOMED),JL. BRAWIJAYA 12 ,JAKARTA TIMUR,12160,INDONESIA,IDN,JAKARTA,,0,,2014-02-24,2014-02-24 10:02:01,2011-12-14 13:20:33,,1,,,,,,,,62 21 8445680,,,,,,,,8
0039Z,A,E,LEMBAGA FARMASI TNI AU (LAFIAU),KOMPLEKS PANGKALAN UDARA TNI-AU HUSEIN SASTRANEGARA JL. PADJADJARAN,BANDUNG,40174,INDONESIA,IDN,JAWA BARAT,,0,,2019-11-04,2019-11-04 08:13:23,2011-12-14 13:22:04,,1,,,,,,,,+62226032120,,,,,,,,71
0040Z,A,E,LEMBAGA FARMASI TNI-AL (LAFIAL),JL. BENDUNGAN HILIR ,JAKARTA PUSAT,10210,INDONESIA,IDN,JAKARTA,,0,,2012-03-27,2012-03-27 11:40:11,2011-12-14 13:23:39,,1,,,,,,,,"62 21 5731912, 5731913",,,,,,,,
0041Z,A,E,PT. KUANTAN UTAMA,"JL. SALEMBA RAYA 34-36 SENTRA SALEMBA MAS BL J, KENARI, SENEN",JAKARTA PUSAT,10430,INDONESIA,IDN,DKI JAKARTA,,0,,2013-10-31,2013-10-31 07:59:00,2011-12-14 13:25:44,,1,,,,,,,,"+62-21-3161675,3161676",021 3161674 - 021 3161676,,http://www.kuantanutama.com/,,,,,
0042Z,A,E,PT. TEXMACO PERKASA EINGINEERING,JL. RASUNA SAID KAV. X6 /8G,JAKARTA SELATAN,12940,INDONESIA,IDN,DKI JAKARTA,,0,,2013-05-13,2013-05-13 11:16:36,2011-12-14 13:28:18,,1,,,,,,,,"+62 21 2520656, 2522065",+62 21 2522065,texmacoper@indoexchange.com,,,,,,
0043Z,A,F,PT. IKA JAYA INSANI SAKTI,JL. SURYA NO. 7 BLOK S KEB. BARU ,JAKARTA SELATAN,13610,INDONESIA,IDN,JAKARTA,,0,,2014-01-30,2014-01-30 11:08:34,2011-12-14 13:30:50,,1,,,,,,,,62 21 72796179-72795181,,,,,,,,
0044Z,P,F,PT MERIAL ESA,JL IMAM BONJOL NO 16,JAK PUS,14140,INDONESIA,IDN,DKI JAKARTA,,0,,2022-06-30,2022-06-30 08:08:28,2014-01-29 14:18:04,,1,,,,,,,,+6221 31900678,+6221 3149512,fahmi@pasific.net.com,,,,,,
0045Z,A,F,PT SURYA KEPANJEN ,JL H AGUS SALIM NO 52-54 KEBUN SIRIH ,JAK PUS,10340,INDONESIA,IDN,DKI JAKARTA,,0,,2014-01-30,2014-01-30 11:09:31,2014-01-29 14:40:27,,1,,,,,,,,"+6221 3140289 ,+6221 31934916", +6221 3140556,,,,,,,
0046Z,A,F,PT SRI REJEKI ISMAN ,JL WHID HASIM NO 147 LT II ,JAK PUS,10240,INDONESIA,IDN,DKI JAKARTA,,0,,2014-01-30,2014-01-30 11:13:02,2014-01-29 14:50:06,,1,,,,,,,,"+622131000995,+62213100096,+62213803273,+6221911415",+62213803276,,,,,,,
0047Z,A,E,PT. DASATRIA UTAMA,PERTOKOAN SUNRISE GARDEN BLOK X NO. 4 KEDOYA,JAKARTA BARAT,14140,INDONESIA,IDN,DKI JAKARTA,,0,,2022-12-01,2022-12-01 09:37:48,2014-01-29 15:00:54,,1,,,,,,,,"+6221564334,+6221564298,+62215803334",+62215803332,,,,,,,
0048Z,A,F,PT JUMBO KARYA AGUNG,"TANJUNG DUREN, GROGOL PETAMBURAN",JAKARTA BARAT,11470,INDONESIA,IDN,DKI JAKARTA,,0,,2023-01-30,2023-01-30 10:03:29,2014-01-29 15:12:57,,1,,,,,,,,"+622156941599,+62215671341",+62215601648,,,,,,,
0049Z,A,F,PT JAVA MOTOR,JL. KRAMAT RAYA NO 17,JAKARTA PUSAT,13510,INDONESIA,IDN,DKI JAKARTA,,0,,2014-08-04,2014-08-04 14:06:25,2014-01-29 19:26:16,,1,,,,,,,," +6221-31927477, 3140415",+6221-3907764,,,,,,,
0050Z,A,G,PT.TOKIO MARINE LIFE INSURANCE INDONESIA,INTERNATIONAL FINANCIAL CENTRE TOWER 2  LEVEL 33A JL.JEND SUDIRMAN KAV.22-23,JAKARTA SELATAN,12920,INDONESIA,IDN,DKI JAKARTA,,0,,2022-12-13,2022-12-13 11:20:43,2014-01-29 19:49:51,,1,,,,,,,,+622129751888,+622129751889,GUGI@TOKIOMARINE-LIFE.CO.ID,,,,,,
0051Z,A,G,"ASURANSI JIWA GENERALI INDONESIA, PT","GENERALI TOWER,7TH FLOOR GRAN RUBINA BUSINESS PARK AT RUSUNA JAKARTA",DKI JAKARTA,12940,INDONESIA,IDN,,,0,,2023-03-27,2023-03-27 08:18:44,2014-01-29 19:45:58,,1,,,,,,,,+62815-9915-956,,RINI.SULISTIAWATI@GENERALI.CO.ID,,,,,,
0052Z,A,F,PT ANGKASA BIRU PERKASA,JL PD GEDE RAYA RUKO PD GEDE INDAH 18 ,JAKARTA TIMUR,13810,INDONESIA,IDN,DKI JAKARTA ,,0,,2014-02-11,2014-02-11 14:13:39,2014-01-29 19:52:00,,1,,,,,,,,"+6221 8411141 , +6221 8411391",,,,,,,,
0053Z,A,G,PT AVRIST ASSURANCE,"GEDUNG WORLD TRADE CENTER II LT. 7&8 JL JEND. SUDIRMAN, KAV 29-31",JAKARTA SELATAN,12920,INDONESIA,IDN,,,0,,2023-03-27,2023-03-27 09:24:21,2014-01-29 20:03:00,,1,,,,,,,,+6202157898188,,LEKA@AVRISTSALESFORCE.COM,,,,,,
0054Z,A,E,PT.GAJAH TUNGGAL TBK,"WISMA HAYAM WURUK LT.10 FLOOR, JL.HAYAM WURUK 8",JAKARTA PUSAT,10120,INDONESIA,IDN,DKI JAKARTA,,0,,2022-12-01,2022-12-01 09:45:01,2013-02-04 11:38:03,,1,,,,,,,,"+62213459302,3459431",+62213804908,,WWW.GT-TIRES.COM,,,,,464
0055Z,A,F,PT ISTANA SARANA RAYA,JL BATU TULIS RAYA NO 13A/B,JAKARTA PUSAT,10340,INDONESIA,IDN,DKI JAKARTA,,0,,2023-01-30,2023-01-30 10:05:56,2014-01-29 20:10:20,,1,,,,,,,,"+62213806000,+622138009999",+62217654633,,,,,,,
0056Z,A,G,"MOVEDE LOGISTICS INDONESIA, PT",OFFICE 88 LT.9 UNIT A KOTA CASABLANCA JL.CASABLANCA RAYA KAV.88,JAKARTA SELATAN,12870,INDONESIA,IDN,DKI JAKARTA,,0,,2022-10-26,2022-10-26 12:10:08,2014-01-29 20:22:08,,1,,,,,,,,+6281284441989,,SALES@MOVEDELOGISTICS.COM,,,,,,
0057Z,A,F,PT MAKMUR ABADI JATMIKA,JL TATI NEGARA TIMUR NO 30 ,JAKARTA TIMUR,13930,INDONESIA,IDN,DKI JAKARTA,,0,,2014-02-11,2014-02-11 14:16:53,2014-01-29 20:50:48,,1,,,,,,,,+6221 8193794,,,,,,,,
0058Z,A,G,PT. ASURANSI INTRA ASIA,JL.LET.JEND.MT HARYONO KAV 33,JAKARTA SELATAN,12770,INDONESIA,IDN,DKI JAKARTA,,0,,2022-10-18,2022-10-18 13:43:53,2014-01-30 10:20:59,,1,,,,,,,,+62-021-7986129,+62-021-7986169,NURMA@INTRAASIA.ID+NURMA.WHITE@GMAIL.COM,,,,,,
0059Z,B,F,PT MITRA SUKSES PERKASA,KOMP ROXY MAS BLOK D3 NO 23 JL KH HAYIM,JAKARTA PUSAT,10130,INDONESIA,IDN,DKI JAKARTA,,0,,2014-02-11,2014-02-11 14:18:18,2014-01-30 10:24:40,,1,,,,,,,,+6221 63851888,,,,,,,,
0060Z,A,G,YAYASAN BORNEO NATURE INDONESIA,JL. BUKIT RAYA NO. 17,PALANGKARAYA,73112,INDONESIA,IDN,KALIMANTAN TENGAH,,0,,2022-10-13,2022-10-13 00:01:56,2014-01-30 10:40:58,,1,,,,,,,,0536-4273286,,INFO@BORNEONATURE.ORG,WWW.BORNEONATUREFOUNDATION.ORG,,,,,
0061Z,A,F,PT. DIGIFOR INTERTECH ASIA,JL. DR. SAHARJO KAV. 111,JAKARTA SELATAN,12810,INDONESIA,IDN,DKI JAKARTA,,0,,2023-02-22,2023-02-22 10:09:24,2014-01-30 11:23:14,,1,,,,,,,,+622128543141AND+6281288452482,,ADMIN@DIGIFORTECH.COM,,,,,,
0062Z,A,F,PT PELANGI INDAH NUSANTARA,JL SUNTER HIJAU RAYA,JAKARTA UTARA ,14350,INDONESIA,IDN,DKI JAKARTA,,0,,2014-08-06,2014-08-06 09:46:59,2014-01-30 11:24:55,,1,,,,,,,,"+6211 4485269 ,44852885,44853590,",,,,,,,,
0063Z,A,G,"AYANA RESORT AND SPA,BALI","KARANG MAS SEJAHTERA,KELURAHAN  JIMBARAN KECAMATAN KUTA SELATAN",BADUNG,80364,INDONESIA,IDN,BALI,,0,,2022-10-03,2022-10-03 14:56:46,2014-01-30 11:30:13,,1,,,,,,,,+62 0361-702222,,,,,,,,
0064Z,A,G,"AWAN INTEGRASI SANDIDATA, PT",SUDIRMAN 7.8 TOWER 1 JL. JEND. SUDIRMAN KAV. 7-8,JAKARTA PUSAT,10220,INDONESIA,IDN,,,0,,2022-12-20,2022-12-20 13:21:45,2014-01-30 11:39:06,,1,,,,,,,,+622139709999,,EPROC@VIBICLOUD.COM,WWW.VIBICLOUD.COM,,,,,
0065Z,A,E,PT BHAKTI WIRA HUSADA ,"JL TEBET UTR I 20 TEBET TIMUR, TEBET",JAKARTA SELATAN,12820 ,INDONESIA,IDN,DKI JAKARTA,,0,,2014-01-30,2014-01-30 11:46:30,2014-01-30 11:42:56,,1,,,,,,,, +6221 8315890,+6221 8290806,,,,,,,
0066Z,A,F,PT SURYA MAKMUR SEMBADA,JL RAYA JATI NEGARA TIMUR NO 30 LT II,JAKARTA TIMOUR,13310,INDONESIA,IDN,DKI JAKARTA,,0,,2023-10-11,2023-10-11 14:15:27,2014-02-11 15:13:22,,1,,,,,,,,+6221 8193794,,,,,,,,
0067Z,A,F,PT DHARMA PROSPEKTA ,JL KAYU MAS TIMUR BLOK A NO 1 PULO GADUNG ,JAKRTA TIMUR ,13310,INDONESIA,IDN,DKI JAKARTA ,,0,,2014-02-11,2014-02-11 15:24:26,2014-02-11 15:16:05,,1,,,,,,,,,,,,,,,,
0068Z,A,F,PT ANUGRAH AGUNG ABADI PRATAMA,JL KROKET RAYA BLOK BII/4 SAWAH BESAR ,JAKRTA PUSAT ,13430,INDONESIA,IDN,DKI JAKARTA ,,0,,2014-02-11,2014-02-11 15:29:37,2014-02-11 15:27:33,,1,,,,,,,,+6221 3807138,,,,,,,,
0069Z,A,F,PT INDRACO,JL LAUFLES NO 62,JAKARTA PUSAT ,13430,INDONESIA,IDN,DKI JAKARTA ,,0,,2014-02-12,2014-02-12 10:31:46,2014-02-12 10:20:48,,1,,,,,,,,+6221 6390896,,,,,,,,
0070Z,A,F,PT KARYA BHAKTI PUTRA BANGSA,JL SAMBA NO 24 TAHAN TINGGI JOHAR ,JAKARTA PUSAT,10310,INDONESIA,IDN,DKI JAKARTA,,0,,2014-02-12,2014-02-12 10:38:37,2014-02-12 10:36:34,,1,,,,,,,,+6221 8197247,,,,,,,,
0071Z,A,F,PT ADARAMA KUSUMA PERSADA,JL CUT MUTIA NO 20,JAKARTA PUSAT,10330,INDONESIA,IDN,DKI JAKARTA,,0,,2023-10-11,2023-10-11 14:16:05,2014-02-12 11:49:05,,1,,,,,,,,+6221 335046,,,,,,,,
0072Z,A,F,PT ADITYATAMA PERKASA,JL.TEROGONG I 37 CILANDAK BARAT,JAKARTA SELATAN,1244O,INDONESIA,IDN,DKI JAKARTA,,0,,2022-12-01,2022-12-01 09:50:23,2014-02-12 12:38:25,,1,,,,,,,,+62217513100,+6221753100,,,,,,,
0073Z,A,F,CV. CITRA DHARMA INDONESIA,JL PLUIT RAYA B I B15 /8 PENJAGA ,JAKARTA BARAT,15440,INDONESIA,IDN,DKI JAKARTA ,,0,,2014-02-19,2014-02-19 09:48:26,2014-02-12 12:43:30,,1,,,,,,,,+6221 6606233,,,,,,,,
0074Z,H,I,CONFIRM 1,CONFIRM 1,CONFIRM 1,CONFIRM 1,INDONESIA,IDN,,,0,,2025-06-26,2025-06-26 13:05:54,2025-06-26 12:54:05,,1,,,,,,,,,,,,,,,,
0075Z,A,F,PT LAUATAN BERLIAN UATAMA ,JL MATRAMAN RAYA NO 71-73,JAKARTA TIMUR,13430,INDONESIA,IDN,DKI JAKARTA,,0,,2014-02-19,2014-02-19 11:22:07,2014-02-19 11:19:45,,1,,,,,,,,+6221 85816425,,,,,,,,
0076Z,A,F,PT ASTRA INTERNASIONAL TOYOTA SALES OPERATIONAL,JL KH WAHID HASIM NO 164,JAKARTA PUSAT,13430,INDONESIA,IDN,DKI JAKARTA,,0,,2014-02-19,2014-02-19 11:24:58,2014-02-19 11:22:39,,1,,,,,,,,"+6221 2302000,650200",,,,,,,,
0077Z,A,F,PT CEMPAKA BATU INTAN ,JL INTAN RAYA NO 20 KEMAYORAN ,JAKARAT PUSAT ,13430,INDONESIA,IDN,DKI JAKARTA,,0,,2014-02-19,2014-02-19 11:29:57,2014-02-19 11:27:40,,1,,,,,,,,+6221 4203213,,,,,,,,
0078Z,A,F,PT TITANMAS SURYA ,JL KH WAHID HASIM NO 135,JAKARTA PUSAT,10310,INDONESIA,IDN,DKI JAKARTA,,0,,2014-02-19,2014-02-19 11:32:49,2014-02-19 11:30:29,,1,,,,,,,,"+6221 6016339,6594943",,,,,,,,
0079Z,A,F,PT TRIAS TANJUNG REJEKI,JL P PAYUNG NO 2B TANJUNG PRIOK ,JAKARTA UTARA,14310,INDONESIA,IDN,DKI JAKARTA,,0,,2014-02-19,2014-02-19 11:35:51,2014-02-19 11:33:38,,1,,,,,,,,"+6221 4309332,4309376",,,,,,,,
0080Z,A,G,OMNILEGAL LAWFIRM,"GRAHA KRAMA YUDHA LT.4 WARUNG JATI  NO. 31 DUREN TIGA ,PANCORAN",JAKARTA SELATAN,12760,INDONESIA,IDN,DKI JAKARTA,,0,,2024-01-20,2024-01-20 10:44:38,2024-01-20 10:33:16,,1,,,,,,,,+62(021)7945301,,Info@omnilegal.co.id,https://www.omnilegal.co.id/indonesia.html,,,,,
0081Z,A,F,PT JUSEP JAYAM MAKMUR,JL P SIRIH UATARA RAYA NO D/A 129 TAMAN GALAKSI INDAH BEKASI ,BEKASI ,17148,INDONESIA,IDN,JAWA BARAT ,,0,,2014-02-25,2014-02-25 11:28:00,2014-02-25 10:59:32,,1,,,,,,,,+6221 8206141,,,,,,,,
0082Z,A,E,PT. JAYA INDAH MAKMUR ,JL. OTISTA RAYA NO. 48A,JAKARTA TIMUR ,13330,INDONESIA,IDN,DKI JAKARTA,,0,,2015-10-23,2015-10-23 10:42:15,2014-02-25 11:28:37,,1,,,,,,,,"+6221 8507068,+6221 8507067",,jaya_indah37@yahoo.com,,,,,,16
